动作专属_1010,#genre#
CCTV1,http://rihou.cc:555/tv/[Pd]央视综合
CCTV3,http://iptv.4666888.xyz/iptv2A.php?id=9
CCTV5,http://yp.qqqtv.top/1/api.php?id=CCTV-5HD&auth=666858
CCTV5+,http://yp.qqqtv.top/1/api.php?id=CCTV-5%2BHD&auth=666858
CCTV6,http://yp.qqqtv.top/1/api.php?id=CCTV-6HD&auth=666858
CCTV8,http://yp.qqqtv.top/1/api.php?id=CCTV-8HD&auth=666858

CCTV12,http://yp.qqqtv.top/1/api.php?id=CCTV-12HD&auth=666858

CCTV15,http://yp.qqqtv.top/1/api.php?id=CCTV-15HD&auth=666858

北京卫视,http://124.222.114.206/bjtv.php?id=bjws#http://k.061899.xyz/m.php?id=bjws
北京文艺,http://124.222.114.206/bjtv.php?id=bjwy#http://k.061899.xyz/m.php?id=bjwy
北京影视,http://124.222.114.206/bjtv.php?id=bjys#http://k.061899.xyz/m.php?id=bjys
东方卫视,http://yp.qqqtv.top/1/api.php?id=%E4%B8%9C%E6%96%B9%E5%8D%AB%E8%A7%86HD&auth=666858
重庆卫视,http://yp.qqqtv.top/1/api.php?id=%E9%87%8D%E5%BA%86%E5%8D%AB%E8%A7%86HD&auth=666858
浙江卫视,http://iptv.4666888.xyz/iptv2A.php?id=14
江苏卫视,http://iptv.4666888.xyz/iptv2A.php?id=15
湖南卫视,http://iptv.4666888.xyz/iptv2A.php?id=13
广东卫视,
深圳卫视,http://yp.qqqtv.top/1/api.php?id=深圳卫视HD&auth=666858
天津卫视,http://yp.qqqtv.top/1/api.php?id=天津卫视HD&auth=666858
安徽卫视,http://yp.qqqtv.top/1/api.php?id=安徽卫视HD&auth=666858
山东卫视,http://yp.qqqtv.top/1/api.php?id=山东卫视HD&auth=666858
山西卫视,http://iptv.4666888.xyz/iptv2A.php?id=16
辽宁卫视,http://yp.qqqtv.top/1/api.php?id=辽宁卫视HD&auth=666858
河北卫视,http://yp.qqqtv.top/1/api.php?id=河北卫视HD&auth=666858
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
江西卫视,http://yp.qqqtv.top/1/api.php?id=江西卫视HD&auth=666858
四川卫视,
重庆卫视,http://yp.qqqtv.top/1/api.php?id=重庆卫视HD&auth=666858
贵州卫视,http://yp.qqqtv.top/1/api.php?id=贵州卫视HD&auth=666858
湖北卫视,http://yp.qqqtv.top/1/api.php?id=湖北卫视HD&auth=666858
广西卫视,http://yp.qqqtv.top/1/api.php?id=广西卫视HD&auth=666858
云南卫视,
海南卫视,http://yp.qqqtv.top/1/api.php?id=海南卫视HD&auth=666858
甘肃卫视,http://yp.qqqtv.top/1/api.php?id=甘肃卫视HD&auth=666858
青海卫视,http://iptv.4666888.xyz/iptv2A.php?id=17
吉林卫视,http://yp.qqqtv.top/1/api.php?id=吉林卫视HD&auth=666858
黑龙江卫视,http://yp.qqqtv.top/1/api.php?id=黑龙江卫视HD&auth=666858
緯來电影,http://iptv.4666888.xyz/iptv2A.php?id=40
八度空间,http://iptv.4666888.xyz/iptv2A.php?id=52

靖天电影,http://iptv.4666888.xyz/iptv2A.php?id=56
靖天戏剧,
东森电影,http://iptv.4666888.xyz/iptv2A.php?id=48

美亚电影,http://iptv.4666888.xyz/iptv2A.php?id=30
poc电影,http://bxtv.3a.ink/api.php?id=popc
爆谷电影,http://rihou.cc:555/tv/[Hk]Now爆谷
星影,http://rihou.cc:555/tv/[Hk]Now星影

兵器科技,http://118.81.224.183:8082/rtp/226.0.2.223:9696
央视台球,http://118.81.224.183:8082/rtp/226.0.2.216:9640
CHC影迷电影,http://118.81.224.183:8082/rtp/226.0.2.93:8004
CHC动作电影,http://118.81.224.183:8082/rtp/226.0.2.94:8012
CHC家庭影院,http://118.81.224.183:8082/rtp/226.0.2.240:9820
搜狐剧场,https://hdl-vip-ws.qf.56.com/live/lc_11730.flv
经典剧场,http://lxajh.top/tv/douyu.php?id=74374
亚洲武侠,http://php.jdshipin.com/TVOD/iptv.php?id=yzwx
千禧经典,http://php.jdshipin.com/TVOD/iptv.php?id=tvbc
天映频道,http://php.jdshipin.com/smt.php?id=Celestial
天映经典,http://php.jdshipin.com/smt.php?id=Celestial2
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
龙祥电影,http://cnlive.org/channel/67548a4f/index.m3u8
龙华电影,http://iptv.4666888.xyz/iptv2A.php?id=45
龙华偶像,http://rihou.cc:555/tv/[Pd]龙华偶像
龙华戏剧,http://rihou.cc:555/tv/[Pd]龙华戏剧
龙华经典,http://rihou.cc:555/tv/[Pd]龙华经典

移动戏曲,http://1.94.31.214/php/hntv.php?id=ydxj
河南曲艺,http://1.94.31.214/php/hntv.php?id=jczy
梨园频道,http://1.94.31.214/php/hntv.php?id=hnly
星空卫视,http://iot-mqqt.111yao.cn:8080/live/diyp_xingkong.m3u8
